Institution,sfr,infrastructure,out turn,Score
"JAI BAJARANG RAM SURAT MAHAVIDYALAYA, BHATAULI BASAULI, JAUNPUR (Id: C-49843)",43.61538462,,0,
"Jai Bajrang Arts College , Channi , Tq- Patur (Id: C-43079)",93.23076923,,18,
Jai Bajrang Girls Degree College (Id: C-57465),68.5,,22,
"JAI BAJRANG SHIV GULAM MAHAVIDYALAYA, AMREM, KARAUDI KALA, KADIPUR, SULTANPUR (Id: C-42466)",34.40625,,592,
JAI BALA JI LALIT KISHOR MAHAVIDYALAYA BHAWANIPUR RAEBARELI (Id: C-58993),52.09259259,,0,
"Jai Bharath Arts and Science College, Chelakulam, Vengola P.O. Perumbavoor - 683 554 (Id: C-11597)",12.5,,172,
"Jaibharath College of Management & Engineering Technology, Arackappady, Vengola P.O., Perumbavoor,Kochi - 683 554 (Id: C-11758)",2.884615385,,49,
"Jai Bhavani Shikshan Prasarak Mandal College of B.C.A., Mantha. (Id: C-34390)",51.71428571,,0,
"JAIBHAVANI SHIKSHAN PRASARAK MANDAL SANCHALIT ARTS & SCIENCE COLLEGE CHAKLAMBA, GEORAI. (Id: C-34538)",8.047619048,,85,
"Jai Bhavani Shikshan Prasarak Mandals, Arts and Science College Marphala Tq Georai Dist Beed (Id: C-59801)",46.57142857,,0,
"Jai bhavani Shikshan Prasarak Mandal's Arts College, Gadhi, Georai. (Id: C-34535)",11.11111111,,463,
"Jai Bhavani Shikshan Prasarak Mandal's College of Arts, Patoda. (Id: C-34293)",21.04347826,,102,
"Jai Bhawani Shikshan Prasarak Mandal's Arts & Commerce Mahila Mahavidyalaya, Georai. (Id: C-34541)",12.86666667,,41,
"JAI BUNDELKHAND LAW COLLEGE, PANARI (Id: C-49967)",10.42105263,,89,
"JAI BUNDELKHAND MAHAVIDHYALAYA INSTITUTE FOR SCIENCE EDUCATION MANAGEMENT AND TECHONOLOGY, BABINA (Id: C-49962)",21.28571429,,183,
"JAI BUNDELKHAND MAHAVIDHYALAYA, KULPAHAD (Id: C-22539)",31.76923077,,260,
Jai Bundelkhand Mahveer Mahavidyalaya Khohi Banda (Id: C-62958),11.42857143,,0,
Jai Burdhadev College Katghora (Id: C-22308),20.41176471,,398,
JAI DURGA BHAVANI BEd COLLEGE (Id: C-62927),63.1509434,,80,
"JAI DURGA COLLEGE OF NURSING, JAIPUR (Id: C-47100)",33.47368421,,52,
JAI DURGA COLLEGE OF PHYSIOTHERAPY (Id: C-55837),11.15384615,,3,
"JAI DURGA MAA COLLEGE OF NURSING JOGINDER NAGAR, MANDI (Id: C-55431)",24.3,,0,
"Jai Ganesh Educational Foundations Jai Ganesh College of Education, Manaji Nagar, Narhe  Road, Pune 41 (Id: C-41374)",16.15384615,,9,
"JAI GANESH SHIV SAGAR MAHILA MAHAVIDYALAYA, DEOKALI, FAIZABAD (Id: C-42276)",7.8,,85,
JAI GEETANJALI COLLEGE OF EDUCATION  (Id: C-61065),34.54545455,,58,
"JAI GURUDEV COLLEGE OF SOCIAL WORK, BIJPAUR(PG) (Id: C-9931)",47.56666667,,17,
JAI HANUMAN PRABHAT SINGH MAHAVIDHALAYA (Id: C-50125),33.65217391,,100,
JAI HIND BISMIL COLLEGE AMBAH (Id: C-34886),1.285714286,,0,
JAI HIND BISMIL COLLEGE OF EDUCATION AMBAH (Id: C-34804),3.610169492,,0,
Jai Hind College (Id: C-21737),19,,233,
"Jai Hind College,Basantsing Institute of Science and J.T.Lalvani College of Commerce & Shaila Gopal Raheja College of Management, 23-24 Backba Reclamation, A Road,Churchgate,Mumbai?400020. (Id: C-34083)",1.2,,662,
"Jai Hind College of Engineering, Kuran, Tal. Junnar, Dist. Pune (Id: C-44591)",10.45454545,,251,
"Jai Hind Defence College, Ayadhya Nagar, Bypass Road, Bhopal (Id: C-35167)",1.1,,175,
Jaihind Gramonnati Sansthas Jaihind College of Science at Post Salgaon Tal Kudal Dist Sindhudurga (Id: C-33974),46.4,,9,
"Jai Hind Mahila Kala Mahavidyalay, Beed (Id: C-60022)",17.75,,0,
"Jai Hind Sindhu Education Trusts Manganmal Udharam College of Commerce, Pimpri,Pune 17 (Id: C-41934)",46.94871795,,317,
JAI INSTITUTE OF NURSING & RESEARCH THATIPUR (Id: C-34762),13,,210,
Jai Institute of Pharmaceutical Sciences and Research (Id: C-63141),12.5,,0,
JAI JAGDAMBA  COLLEGE OF.EDUCATION MED VIRAG  413 402  511 INDRA NAGER TAL.BARSHI DISTT.SOLAPUR MAHARASHTRA (Id: C-15795),12.8125,,0,
JAI JAGDAMBA COLLEGE  OF EDUCATION VIRAG 413 402 511 INDRA NAGER TAL BARSHI DISTT SOLAPUR (Id: C-15800),9,,33,
"JAI JAI RAM MAHAVIDYALAYA, MURADPUR KHUTAR (Id: C-54861)",49.75,,363,
"Jai Jawan College,Tarana (Id: C-31633)",95.25,,30,
"Jai Jawan S.P.M.'s  College of  B.B.A. & B.C.A., Taroda, Manik Nagar, Nanded (Id: C-7574)",12.5,,7,
"Jai Jawan S.P.M.'s  College of  B.Lib. Taroda, Manik Nagar, Nanded (Id: C-7343)",34.28571429,,25,
"JAI KISHAN BALIKA MAHAVIDYALAYA, CHAMIYANIGANJ (Id: C-50190)",3.6,,107,
"Jai Kranti Arts College, Latur (Id: C-7444)",69,,45,
JAIKRANTI COLLEGE OF EDUCATION (Id: C-54175),43.625,,25,
"Jailaxmi Arts Commerce and Science College, Karanja (Id: C-18213)",16.95348837,,2,
"JAI MAA BARAHI MAHAVIDYALAYA, UMRI, BEGAMGANJ, GONDA (Id: C-42442)",2.833333333,,128,
"Jai Maa Bhagwati Sonanchal P.G. College, Pusauli, Sonebhadra (Id: C-13615)",17.66666667,,154,
"JAI MAA DURGE DHARMAWATI MAHAVIDYALAYA, KALYAN BHADARSA, FAIZABAD (Id: C-42622)",23.25,,120,
JAI MAA INSTT. OF EDUCATION KHARRA AGRA OAD MAINPURI (Id: C-15210),13.83333333,,148,
"Jai Maa Khandwari Mahila Mahavidyalay, Kahinaur, Mau (Id: C-58100)",15.85365854,,39,
"JAI MAA SAVITRI GROUP OF INSTITUTIONS NH-24, HAPUR, GHAZIABAD (Id: C-28988)",28.5,,21,
JAI MAA SHARDE MAHAVIDHYALAY (Id: C-55395),12.6,,0,
Jai Maa Sudami Devi Mahavidyalaya Khanpur Ghazipur (Id: C-63325),36.5,,0,
"Jai Maa Vaishno Mahavidyalaya,Gahni, Azamgarh (Id: C-15972)",15.46666667,,281,
"Jai Marudhar Kesari B.Ed. College, Merta City (Id: C-13271)",15.0625,,67,
Jai Mata College of Education (Id: C-10638),4.076923077,,42,
JAI MATA DI COLLEGE (Id: C-34822),27.07692308,,434,
"Jai Mata Dulhmi Tribhuwan Mahavidyalay, Chogra, Ballia (Id: C-13718)",6.466666667,,487,
"Jaimata Rani Srimati Dhansira Degree College, Karmahiya, Basti (Id: C-14333)",7.8,,0,
"Jai Mauni Baba Deva Girdhari Mahavidyalaya, Rohna, Rasra, Ballia (Id: C-13707)",9.571428571,,40,
"JAI MEENESH COLLEGE, BISALPUR ROAD PHAGI (Id: C-48286)",8.8,,21,
"Jain Acharya Gundharnandi Maharaj Institute of Technology, Jamkhandi (Id: C-51039)",16.16666667,,79,
"Jain AGM Ayurvedic Medical college and Hospital , Varur (Id: C-59943)",25.44444444,,0,
"""Jai Narain College of Technology, New Chouksey Nagar, Berasia Road,Bhopal - 462038"" (Id: C-35971)",27.42857143,,101,
JAI NARAYAN P.G. COLLEGE (Id: C-12725),4.714285714,,2714,
"JAI NARAYAN SINGH C.D. MAHAVIDYALAYA, SEMRI, KARCHANA, (Id: C-12579)",42.2,,437,
"JAI NARAYAN SMARAK DEGREE COLLEGE, SEHARA, (Id: C-12559)",30,,637,
Jai Narayan Vyas Women T.T. College (Id: C-13072),8.5,,104,
Jai Narsingh College of Education (Id: C-59451),37.125,,50,
JAI NARSINGH COMPUTER INSTITUTE KARELI (Id: C-31211),33.45833333,,14,
"Jain Arts Academy, indore (Id: C-29512)",13.09375,,10,
"JAINATH  MAHAVIDYALYA, ALIPUR, MADRA, JAKHANIYA, GHAZIPUR (Id: C-49726)",27.8,,0,
Jainath Memorial Mahavidyalaya harairampur lalganj azamgarh (Id: C-62111),29.4,,0,
"Jainath Memorial Mahila Degree Colege,Harairampur,Lalganj,Azamgarh (Id: C-51051)",5.5,,69,
"JAIN COLLEGE, GWALIOR (Id: C-34848)",69.86363636,,0,
"JAIN COLLEGE, MORENA (Id: C-34876)",9.833333333,,58,
"Jain College, No.15, Vasavi Temple Road, V.V. Puram, Bangalore-04.  (Id: C-20934)",55,,318,
"Jain College, No.463/465, SS Royal, 18th Main Road, 80ft Road, R.R. Nagar, Bangalore-98  (2011-12) (Id: C-21075)",0,,77,
" JAIN COLLEGE OF BBA ,BCA,  B.com   BELGAUM (Id: C-10046)",15.4,,192,
"Jain College of Education, Mandsaur (Id: C-31673)",60.6,,184,
JAIN COLLEGE OF ENGINEERING AND RESEARCH  BELAGAVI (Id: C-62653),160,,0,
JAIN COLLEGE OF ENGINEERING AND TECHNOLOGY (Id: C-58013),4.25,,0,
"Jain College of Engineering,  BELGAUM (Id: C-1306)",55,,739,
"JAIN COLLEGE OF MBA & MCA, BELAGAVI (PG) (Id: C-9968)",46.25,,86,
JAIN COLLGE LITTIL ANJELS SCHOOL KE PASS SHIVPURI LINK ROAD (Id: C-34850),22.8125,,77,
Jain Degree College (Id: C-58506),13.64285714,,0,
"JAIN DIWAKAR KAMALA MAHAVIDYALAYA, KOTA (Id: C-46381)",33,,15,
"JAINEE COLLEGE OF EDUCATION , DINDIGUL (Id: C-45843)",82.5,,81,
JAINEE COLLEGE OF ENGINEERING AND TECHNOLOGY (Id: C-49135),19.14285714,,36,
"JAINEE COLLEGE OF NURSING (Inst. Code - 229), DINDIGUL (Id: C-45582)",9.391304348,,59,
JAIN EVENING COLLEGE (Id: C-52540),36.82352941,,71,
Jain Girls Degree College khekra  (Id: C-57371),43.5,,37,
"Jain Institute of Business Management, #161, Jain Educational Campus, Jakkasandra Post, Kanakapura Taluk-562 112 (Id: C-21101)",13.6,,55,
Jain Institute Of Skills (Id: C-61950),8.666666667,,35,
"JAIN INSTITUTE OF TECHNOLOGY, DAVANAGERE (Id: C-45310)",998,,477,
JAIN INSTITUTE OF TECHNOLOGY-DIPLOMA (Id: C-53101),194.5,,0,
"Jain Institute, Salupura, Piproli-Shivpuri Link Road, Gwalior (Id: C-54115)",23.375,,142,
"Jain Kanya Pathshala Degree College, Muzaffarnagar Mob.No.9897257050, 0131-2432111 (Id: C-28757)",19.3,,620,
Jaintia Eastern College (Id: C-16344),21.29411765,,72,
"Jain  Vidya Prasarak Mandals  Sanghavi Kesari College of Arts,Commerce & Science , Chinchwad , Pune 19- (Id: C-42031)",137.7272727,,53,
JAI PARKASH MUKAND LAL INNOVATIVE ENGINEERING AND TECHNOLOGY INSTITUTE (Id: C-49359),10.14285714,,84,
"Jai Prakash Mahila College, Chapra (Id: C-6491)",16.5,,0,
"Jai Prakash Mahila Mahavidyalaya, Nagra, Ballia (Id: C-13552)",32,,229,
"Jai Prakash Narayan College of Education, Near Deogiri College, Aurangabad. (Id: C-34522)",7.391304348,,65,
"Jai Prakash Rai Mahavidyalaya,Fatuhi, Azamgarh (Id: C-16022)",6,,0,
", JaipurAshutosh Mahavidyalaya (Id: C-38561)",8.072463768,,180,
JAIPUR CAMPUS (Id: C-27021),55.58235294,,124,
"JAIPUR COLLEGE OF NURSING AND HOSPITAL, JAIPUR (Id: C-47101)",45.94117647,,29,
JAIPUR COLLEGE OF PHARMACY (Id: C-48337),38.89583333,,68,
"Jaipur Engineering College,Kukas,jaipur (Id: C-25235)",12.83333333,,116,
"Jaipur Engineering College & Research Center,jaipur (Id: C-25107)",25,,796,
Jaipur Hospital College of Nursing (Id: C-61237),6,,580,
JAIPUR HOSPITAL COLLEGE OF PHYSIOTHERAPY (Id: C-56743),2.2,,30,
"JAIPURIA B.ED. COLLEGE, ANGARA (Id: C-47755)",17.875,,94,
"JAIPURIA INSTITUTE OF MANAGEMENT, GHAZIABAD (Id: C-46123)",120,,155,
"Jaipur Institute of Engineering & Management,Jaipur (Id: C-25272)",17.7,,102,
"Jaipur Institute of Technology Group of Institutions,Jaipur (Id: C-25220)",36.61111111,,75,
"JAIRAJ KUNWAR BABA PARASPAL SINGH MAHAVIDYALAYA, LEELAPUR, PRATAPGARH (Id: C-42456)",49.25,,299,
Jairam Arts & Science College (Id: C-9535),32.54545455,,373,
Jairam College of Education (Id: C-14647),11.52631579,,180,
"JAIRAM JANKI MAHAVIDYALAYA, MAHARISHI NAGAR, (Id: C-12581)",48.52173913,,285,
"Jairams Arts & Science College, NH7, Karur-Madurai By-Pass Road, Aattamparappu, Kakavadi (P.O), Karur - 639 003. (Id: C-35888)",6.566666667,,508,
JAIRUPAA COLLEGE OF ENGINEERING (Id: C-49357),19.22727273,,2,
Jairupa  College of Education (Id: C-14418),16.51162791,,84,
"JAI SHANKAR KALAWATI DEVI MAHILA MAHAVIDYALAYA, SALLAHAPUR, DEORIA (Id: C-51199)",18.50793651,,48,
"JAI SHIV ACADEMY COLLEG E OFHIGHER EDUCATION, DHANPURA, MAWANA, MEERUT (Id: C-28743)",12.85714286,,0,
"JAI SHIV PG MAHAVIDYALAYA, BUDHERANA (Id: C-45169)",24.5,,346,
"JAI SHREE BALAJI MAHAVIDHYALAYA, JAITAPUR (Id: C-48979)",15.83333333,,309,
JAI SHREE COLLEGE (Id: C-53209),11,,89,
Jai Shree Venkateswara College of Arts & Science (Id: C-9551),7.333333333,,222,
"Jai Shri Dayal TT Colege, Sikar (Id: C-38397)",2.086956522,,89,
Jai Shriram Engineering College (Id: C-36950),4.696969697,,219,
JAI SHRI SANKAT MOCHAN SHIKSHAN SANSTHAN (Id: C-51263),12.90909091,,15,
"JAISWAL COLLEGE OF BSC NURSING, KOTA (Id: C-47169)",47.57142857,,121,
"Jaivikas College, Shirpur (Id: C-18473)",11.92857143,,117,
JAJBA TEACHER TRAINING COLLEGE (Id: C-59170),12.85714286,,0,
Jakir Hossain B.Ed. College (Id: C-7102),18.2815534,,106,
JALADHAR DEY INSTITUTE OF EDUCATION (Id: C-57107),21.6,,61,
"Jalagam Vengal Rao (JVR) Government Degree College, Sathupally (Id: C-27354)",17.35714286,,90,
JALAHALLI JAYASHANTALINGESHWAR ARTS COLLEGE WADAWADAGI (Id: C-61929),64.0625,,55,
"JALALIYA WOMENS ARABIC COLLEGE, KUTTIKKATTUR (Id: C-8232)",10.38461538,,20,
Jalangi B.Ed. College (Id: C-7080),34.33333333,,188,
Jalangi Mahavidyalaya (Id: C-7114),10.45,,160,
"Jaldhari Devi Sanskrit Mahavidyalaya, Noonkhar (Id: C-20292)",155.1578947,,3,
"Jaleswar College , Tapoban (Id: C-17126)",23.83870968,,72,
Jaleswar Womens College (Id: C-21394),31.16666667,,133,
"Jaloe Degree College,Jaloe (Id: C-40808)",62.875,,50,
Jalpaiguri Govt. Engineering College 101 (Id: C-6168),38.36842105,,465,
"JALPAIGURI LAW COLLEGE, JALPAIGURI (Id: C-45359)",10.79245283,,72,
Jamal Mohamed College of Teacher Education (Id: C-14417),7.863636364,,188,
"Jamal Mohamed College, Tiruchirappalli - 620 020. (Id: C-35832)",15.32142857,,3349,
"Jamalpur College, Jamalpur (Id: C-17630)",17.76086957,,272,
Jamalpur Mahavidyalaya (Id: C-44763),16.87610619,,613,
"Jamankira College,Jamankira (Id: C-40824)",8.37704918,,75,
Jambeswar Mahavidyalaya (Id: C-21341),8.421052632,,260,
JAMBUKHAND MAHAVIDHYALAYA (Id: C-53233),9.96,,22,
JAMBUKHAND TEACHER TRAINING INSTITUTE   (Id: C-58481),16.23809524,,162,
"Jamda Anchalika M.V, Jamda (Id: C-10922)",11.86111111,,66,
"Jameela Beevi Centre for Teacher Education, Kayamkulam (Id: C-43745)",6.207317073,,43,
James college of Education (Id: C-14520),31.79310345,,122,
James College of Engineering and Technology (Id: C-27083),29.59722222,,89,
"Jame-Ul-Uloom College of Information Science, Shikshanagar, 26th Mile, Mysore Road, Near Wonderla, Bidadi Hobli-562 109, Ramanagar Dist. (Id: C-20730)",16.5,,30,
"JAMIA COLLEGE OF EDUCAITON, ANANTNAG (Id: C-45950)",768,,55,
"Jamia Darussalam Arabic College,Oomerabad (Id: C-36454)",21.38461538,,33,
"Jamia Islamia Ishaatul Ulooms Jamia Institute of Engineering and Management Studies, Akkalkuwa (Id: C-50940)",2.473684211,,171,
"JAMIA MADINAT-UL-ALOOM, ORIENTAL COLLEGE, HAZRATBAL (Id: C-46521)",15,,20,
"JAMIA MOHAMMADIA EDUCATION SOCIETYs MUMBAI MAULANA MUKHTAR AHMAD NADVI TECHNICAL CAMPUS, MALEGAON (Id: C-47550)",26.71428571,,81,
"JAMIA NADAWIYYA COLLEGE OF TEACHER EDUCATION, EDAVANNA (Id: C-8197)",0,,49,
"JAMIA SALAFFIYYA COLLEGE OF PHARMACY, PULIKKAL (Id: C-8013)",17.94444444,,29,
"Jamia Training College, Chithara, Kollam (Id: C-43682)",38.25714286,,0,
"JAMIA-TUL-BANAT, UMER COLONY, LAL BAZAR (Id: C-46519)",11.875,,0,
JAMIA URDU COLLEGE OF EDUCATION (Id: C-55816),20.76470588,,0,
JAMINI KANT B.Ed COLLEGE (Id: C-54649),12.4375,,100,
Jamini Mazumder Memorial College (Id: C-42703),8.026548673,,447,
Jamini Roy College (Id: C-44759),2.5625,,125,
"JAMIYA NADAWIYA ARTS & SCIENCE COLLEGE, EDAVANNA (Id: C-8248)",12.51851852,,111,
"JAMIYA NADWIYYA WOMENS' ARABIC COLLEGE, EDAVANNA (Id: C-43327)",75.125,,22,
"JAMIYA TIBBIYA COLLEGE, DEOBAND, (Id: C-12443)",2.105263158,,33,
Jamkhed Homoeopathic Medical College Ratnapur Taluka Jamkhed District Ahmednagar (Id: C-62868),15,,0,
JAMLA DEGREE COLLEGE (Id: C-51847),11.3125,,37,
Jammu and Kashmir Institute of Mathematical Sciences (Id: C-58020),39.59090909,,0,
Jammu College of Physiotherapy (Id: C-22933),23,,20,
JAMNA COLLEGE JEEVANPURA (Id: C-59902),15.57142857,,0,
Jamna Devi Institute of Management and Technology (Id: C-10271),11.76470588,,9,
"Jamna GIrls B.Ed. College, Sikar (Id: C-38581)",55.69230769,,196,
JAMSHEDPUR CO-OPERATIVE COLLEGE (Id: C-43559),3.5,,1351,
"JAMSHEDPUR CO-OPERATIVE LAW COLLEGE, JAMSHEDPUR (Id: C-43553)",10.47368421,,100,
jAMSHEDPUR WORKER'S COLLEGE (Id: C-43544),48.18181818,,688,
"JAMTARA COLLEGE, JAMTARA (Id: C-45397)",47,,417,
"JAMTARA MAHILA SANDHYA COLLEGE, JAMTARA (Id: C-45387)",21.39726027,,327,
JAMUI B.Ed COLLEGE (Id: C-59525),32.47058824,,71,
"JAMUNA DEVI NARESH CHANDRA MAHAVIDHYALAYA, ORAI (Id: C-22594)",10.4375,,113,
"Jamuna Keshav Singh Memorial P.G. College,Neuwa,Samopur,Thekma, Azamgarh (Id: C-16160)",24.51639344,,512,
Jamunamukh College (Id: C-17101),126.5,,95,
"Jamuna Prasad Memorial College, Bhairpur Khazuria (Id: C-13334)",45.44,,295,
JAMUNA RAM MEMORIAL SCHOOL (Id: C-57200),62.54545455,,94,
"JAMWAI KANYA MAHAVIDHYALAYA BAL MANDIR COLONY, SAWAIMADHOPUR (Id: C-46377)",38.61538462,,37,
Janahitha Degree College (Id: C-23977),12.93333333,,70,
"Janaki Madhusudan Womens Degree College, Mandhatapatna (Id: C-56865)",16.21428571,,74,
"Janaki Raman Sanskrit Mahavidyalaya, (Id: C-20350)",63.66666667,,40,
Janaklali mahavidyalya tahsinpur pure jigna mishr sohawal ayodhya (Id: C-63601),11,,0,
"Janak Raj Mahajan, B.Ed. College Gangath, Teh. Nurpur, Distt Kangra (Id: C-11271)",8.263157895,,50,
Janardan Bhagat Shikshan Prasarak Sansthas Changu Kana Thakur Arts Commerce and Science College Plot No.01  Sector 11  Khanda Colony  New Panvel  410 206 (Id: C-33647),4.285714286,,997,
Janardan Bhagat Shikshan Sansthas  Bhagubai Changu Thakur College of Law At New Panvel Dist Raigad (Id: C-34152),9,,178,
JANARDAN COLLEGE OF EDUCATION  (B.Ed)  (Id: C-53128),29.2,,0,
Janardan Prasad Singh Teachers Training College (Id: C-61589),39,,26,
"JANARDHAN REDDY COLLEGE OF EDUCATION INDIRANAGAR COLONY, HUZURABAD (Id: C-21478)",10.29411765,,78,
"Janata Arts, Commerce College, Malkapur (Id: C-42817)",15,,119,
Janata College (Id: C-26399),4.379310345,,788,
Janata College (Id: C-17281),14.14285714,,111,
"Janata College,Boinda (Id: C-40919)",9.862068966,,94,
"Janata College, Kuhuri, khurda (Id: C-39529)",8.166666667,,129,
"Janata College,Satmaile,Dhenkanal (Id: C-39716)",9.88,,145,
Janata Mahavidyalaya P.O.Borguri. Tinsukia (Id: C-8499),6.714285714,,15,
"Janata Seva Mandal Nashik Modern College,Samarthnagar,Peth Road, Panchavati, Nashik 422003 (Id: C-42093)",17.36842105,,0,
Janata Shikshan Mandals Advocate Datta Patil College of Law Taluka  Alibag Dist. Raigad 402 201 (Id: C-33946),81.15384615,,80,
Janata Shikshan Mandal  Smt Indirabia G.Kulkarni Arts  J.B.Sawant Science and Sau. Jankibai Dhondo Kunte Commerce College  Alibag  Dist Raigad  402 201 (Id: C-33826),45.66666667,,358,
Janata Shikshan Prasarak Mandal's College of Education (Id: C-44254),13.85714286,,98,
Janata Shikshan Prasarak Mandal's Mahila Kala Mahavidyalaya (Id: C-44281),11.14285714,,47,
"Janata Shikshan Prasarak Mandals Marutraoji Ghule Patil Arts,Commerce & Science College, Nagapur, Tal.& Dist. Ahmednagar (Id: C-41449)",7.068181818,,133,
Janata Shikshan Prasarak Mandal's Women's College of Science (Id: C-44153),3.607142857,,2,
Janata Shikshan Prasarak Mandal Women's B.Ed. College (Id: C-44156),53,,37,
Janata Shikshan Prasarak Societys Pandit Rajpati Mishra College of Education and Research Manorama Nagar Krishna Compound Near Shankar Temple Dhokali Thane (W) (Id: C-33905),24,,30,
"Janata Shikshan Sansthas Smt. Chandrakala Kishorilal Goyal , Arts & Science & Commerce College, Dapodi, Pune  411 012 (Id: C-41553)",14.21052632,,70,
"Janata Shikshna Samitis J.S.S Shri. Manjunatheshwar B.Ed College, Dharwad. (Id: C-35574)",7.916666667,,93,
"Janatha First Grade College, Chamarajapet, Bangalore-18 (Id: C-21063)",1.125,,11,
"Janatha Government First Grade College,, Basavapatna (Id: C-17701)",13.51724138,,38,
"JANATHA SHIKSHANA PRASARAK SAMITHI ARTS COLLEGE, ITAGI, KHANAPUR (Id: C-49640)",111.0327869,,11,
"JAN BAZ WALI COLLEGE OF EDUCATION, BARAMULLAH (Id: C-45966)",46.2,,15,
"Janbharti Mahavidyalaya, Diliya, Talwar, Ghazipur (Id: C-15840)",124.12,,295,
JANET DEGREE COLLEGE (Id: C-54375),128.2105263,,131,
"JANGALI YADAV VIDYALAY, SALEMPUR, NASEERPUR, GHAZIPUR (Id: C-59780)",91.47058824,,48,
JANGAL MAHAL TEACHERS TRAINING INSTITUTE (Id: C-56708),11,,50,
"Jangaon College of Education, Jangaon (Id: C-27434)",9.863636364,,90,
"Jangaon Institute of Pharmaceutical Sciences, Jangaon, Warangal (Id: C-27557)",117,,42,
"Jang Bahadur Singh Dhanaur College, Bakuchi, Muzaffarpur (Id: C-19017)",16.71428571,,98,
"JANG BAHADUR SINGH PATEL DEGREE COLLEGE, JALALPUR, (Id: C-12541)",32.70967742,,292,
"Jangi Mahavidyalaya Asbaranpur ,Jaunpur (Id: C-16006)",93,,426,
Jangipur College (Id: C-7067),13.52380952,,419,
JANGIPUR COLLEGE OF EDUCATION (Id: C-58131),36.6,,148,
"Janhavi Sanskrit Adarsh Mahavidyalaya, Kalakankar (Id: C-20156)",26.28571429,,0,
"JANHIT COLLEGE OF LAW PLOT NO.-35, KNOWLEGE PARK-I, GARTER NOIDA (Id: C-29007)",17.4,,224,
"JANHIT DEGREE COLLEGE GANGALI,  SAHARANPUR (Id: C-28612)",4.181818182,,166,
"JANHIT INSTITUTE OF EDUCATION & INFORMATION 38-B, PHASE-1, KNOWLEGE PARK-I,  GARTER NOIDA, Ph. No :- 2230642, 2021830 (Id: C-29004)",7.142857143,,318,
"JANHIT INSTITUTE OF EDUCATION VILL-MATIALA, DUHAI, GHAZIABAD,  Ph. 09818282524 (Id: C-28979)",34.0625,,272,
JANHIT LAW INSTITUTE (Id: C-51786),46.33333333,,0,
"Janhit Mahavidyalaya, Gomati Nagar Mahimapur Jalalpur Jaunpur (Id: C-15857)",50,,113,
"JANKI COLLEGE OF EDUCATION, DHANUHARDERA (Id: C-49171)",6.2,,98,
Jankidevi Bajaj Institute of Management Studies (Id: C-44326),11.625,,50,
"JANKI DEVI BAJAJ INSTITUTE OF MANAGEMENT STUDIES AND RESEARCH, PUNE (Id: C-62147)",71.53846154,,0,
"Janki Devi College, Alwar (Id: C-38752)",41.13888889,,251,
Janki Devi Memorial College (Id: C-6359),103.0909091,,1073,
"Janki Devi Teenmurti Mahavidyalaya, Sakhvaniya, Kushinagar (Id: C-14325)",18.45833333,,307,
Janki Ji College of Education (Id: C-10679),26.09090909,,40,
"Janki Prasad Chaudhary Mahila Mahavidyalay, Kataudha, Basti (Id: C-14083)",24.28571429,,481,
"JANKI PRASAD VERMA MEMORIAL MAHAVIDYALAYA, KOTWA SARAK, BARABANKI (Id: C-42312)",23.09090909,,554,
"Jan Nayak CDL College of Pharmacy, Barwala Road, Sirsa (Id: C-30774)",3,,42,
"JAN NAYAK CHAUDHARY DEVI LAL MEMORIAL COLLEGE, SIRSA (Id: C-46580)",47.85714286,,366,
"Jan Nayak Ch. Devi Lal College of Education, Barnala Road, Sirsa (Id: C-22446)",32.29824561,,200,
"Jan Nayak Ch. Devi Lal Dental College, Sirsa (Id: C-30735)",23.125,,85,
Jan Nayak Ch. Devi Lal Memorial College of Engineering (Id: C-27605),13.57142857,,49,
Jan Nayak Choudhary Devi Lal Memorial Institute of Business Management (Id: C-27602),27.51515152,,57,
"Jan Sahkari D.C. Barap, Garahni (Id: C-27100)",3,,590,
"Janseva Foundation Loni Budruks Arts & Commerce College,Shendi,Tal.Akole,Dist.Ahmednagar (Id: C-42003)",7.222222222,,33,
"Janseva Mandal Trusts, Sai Homo. Medical College Dugad Phata, Bhivandi. Dist. Thane. (Id: C-13770)",12.375,,41,
Jan Seva Sanghs  Shriram College of Commerce  Kumari Kasturi Vidyalaya  K K V  Jr  College  Datta Mandir Road  Bhandup  W Mumbai  400 078 (Id: C-33544),45.625,,208,
Janseva Shikshan Mandals College of Education  Shivle Murbad Dist.  Thane (Id: C-33716),12.06666667,,99,
Janseva Shikshan Mandals Jayandra Pawar Arts Commerce & Science College  At Tokawads  Tal  Murbad  Dist  Thane  421 401 (Id: C-33669),3.090909091,,108,
Jansons Institute of Technology (Id: C-37021),9.333333333,,146,
Jansons School of Business (Id: C-41048),14.85714286,,87,
"Janta Adarsh Mahavidyalaya, Maksudanpur, Mubarkpur, Gangauli, Ghazipur (Id: C-16009)",20.8,,262,
Janta College (Id: C-18850),73.09090909,,361,
"JANTA COLLEGE, BAKEWAR, (Id: C-12360)",474,,342,
JANTA COLLEGE OF EDUCATION (Id: C-28048),12.375,,89,
"Janta College of Pharmacy, Butana, Sonipat (Id: C-30738)",3.631578947,,82,
JANTA COLLEGE REWA (Id: C-31838),12.375,,108,
"Janta Degree College, Korthu (Id: C-50815)",6.36,,187,
Janta Degree College Patla (Ghaziabad) Mob.No.9412843334 (Id: C-29083),58.83333333,,86,
