Institution,tMale,tFemale,Male,Female,Male.1,Female.1,Male.2,Female.2,Male.3,Female.3,Male.4,Female.4,Male.5,Female.5
"Dr.R.C.Reddy Degree College, Tirupati Urban (Id: C-27827)",9,3,1,0,,,1,0,,,,,,
"Dr. R.C.S.R.I of Sc. & Tech., Gania, Nayagarh (Id: C-39662)",9,6,,,,,2,3,,,1,1,,
"Dr RG Bhoyar Institute of Pharmaceutical Education and Research, Bachelor Road (Id: C-18518)",4,5,3,1,,,1,3,,,,,3,1
"DR RIZVI COLLEGE OF ENGINEERING, KARARI (Id: C-46860)",16,8,,2,,,6,2,,,4,3,,
"DR. RIZVI COLLEGE OF LAW, KARARI, (Id: C-12406)",14,1,2,,,,3,1,,,5,1,,
"Dr. RJC College of Higher Education, Trunk Road, Khammam (Id: C-27485)",30,11,8,,2,,11,7,,,1,,,
Dr. R. K. B. Law College Dibruharh (Id: C-8422),6,5,,,,,2,4,,,,1,,
"DR R K SHANMUGAM COLLEGE OF ARTS & SCIENCE, VILLUPURAM (Id: C-47579)",40,24,17,3,,,22,21,,,2,,4,
Dr. R.K. Shanmugam College of Education (Id: C-14682),7,4,2,2,,,2,,1,,,,1,1
"Dr.R.N.Lahoti Ayurvedic College, Hospital and Research Institute Sultanpur (Id: C-57148)",12,16,,,,,,,,,,,2,
"Dr. R.N.Lahoti B.Ed. College,Sultanpur ,Tq. Lonar. (Id: C-43102)",5,1,2,,,,2,1,,,,,2,
Dr. R. N. Lahoti Women Science College Sultanpur (Id: C-57149),4,2,,1,,,3,,,,,,,1
"Dr. R.N.S. Shiksha Mahavidyalaya, Manendragarh (Id: C-9694)",4,4,,,,,,1,1,,,,,
"Dr. RP Medical College, Tanda, Distt Kangra (Id: C-11393)",84,30,2,,3,1,,,1,,1,,5,1
"DR. R.P. RICHHARIYA DEGREE COLLEGE, BARUASAGAR                      (Id: C-22530)",16,7,1,,,,2,2,,,,1,,
"DR. R.P.S. MAHAVIDYALAYA, ETAH (Id: C-51208)",21,5,1,,,,17,3,,,,,,
"Dr. R.R.M. College, Chandi (Id: C-12913)",22,8,,,,,22,8,,,,,,
Dr.R.V.Arts and Science College (Id: C-41099),8,36,2,1,,,6,35,,,,,,2
DR SAI KALESWAR MEMORIAL DEGREE COLLEGE (Id: C-50458),9,3,1,,,,3,2,,,,,1,
Dr. Samuel George College of Pharmaceutical Science (Id: C-32811),29,19,11,8,1,1,11,6,,,3,2,1,2
"Dr. Samuel George Institute of Engineering & Technology, George Town, Darimadugum,(Post & Village) , Markapur(M), PIN-523 316.(CC-35) (Id: C-18080)",93,20,40,8,5,,15,4,,,6,,6,2
"Dr. Sarojini B.S.W College,   B.K. Hostel, Opp. Timmasagar Temple, Vidya Nagar, Hubli. (Id: C-35586)",1,5,1,1,,,,4,,,,,,
"Dr. Sarojini Naidu college of Education, Kattalli Road, Humnabad (Id: C-8650)",4,5,3,2,,,1,2,,,1,,,
"DR SARVAPALLI RADHAKRISHNAN B ED COLLEGE, MALDA (Id: C-46605)",13,4,1,2,,,2,,,,2,1,,
Dr. SARVEPALLI RADHAKRISHNA DEGREE COLLEGE (Id: C-23834),17,2,5,2,,,4,,,,,,,
"Dr. Sarvepalli Radhakrishnan Government Degree College, Dharampur, District Mandi (Id: C-11307)",9,7,1,2,,,,,,1,,,,
"DR SARVEPALLI RADHAKRISHNAN TEACHERs TRAINING COLLEGE, MURSHIDABAD (Id: C-47695)",13,3,1,,,,4,,,,6,1,,
"Dr. Satya Prakash Singh Mahavidyalaya, Jamuniya ,Jaunpur (Id: C-15989)",3,1,,,,,,,,,,,,
"Dr.Sau.Kamaltai Gawai Institute of Engineering & Technology, Daryapur. Distt:-Amravati (Id: C-43134)",62,23,8,1,,,52,20,,,,,2,
"DR. SAVITA AGARWAL MAHILA MAHAVIDYALAYA,BARA,ALLAHABAD (Id: C-53556)",2,6,,,,,,3,,,,,,
Dr. S.B. Institution of Education (Id: C-26394),7,9,,1,,1,1,1,,,4,4,,
"DRS College of Education, Thorrur (Id: C-27365)",12,3,,,,,10,2,,,,,,
D.R.S. COLLEGE REWA (Id: C-31850),10,9,,,,,2,1,,,,1,,
"DRS Degree College, Mamillagudem, Khammam (Id: C-27392)",23,9,9,1,2,1,6,3,,,2,,,
"Dr. S. Gopalaraju Govt. First Grade College College, Anekal-562106 (Id: C-21135)",1,13,1,2,,,,5,,,,1,,
"DR. SHADI LAL COLLEGE OF EDUCATION, HANDA NURSINGH HOME COMPLEX, SARDANA ROAD, KANKER KHERA, MEERUT (Id: C-29086)",7,12,,1,,,4,3,,,,,,
DR SHAHIDULLAH INSTITUTE OF EUCATION (Id: C-60457),14,8,2,3,,,7,1,,,2,1,,
"Dr. Shankar Dayal Sharma P G College, Jaipur (Id: C-38977)",11,5,,,,,6,,,,,,,
"Dr. Shankar Dayal Sharma Smiriti College, Plot. No 8-9 RAmnagar Colony, Shahjanabad, Bhopal (Id: C-35164)",12,2,,,,,,,,,1,,,
"Dr. Shankarrao chavan Govt Medical College,  Vazirabad, Nanded (Id: C-13985)",79,29,11,1,13,5,21,11,,,12,7,11,1
"DR SHANNO RANI SARASWATI KANYA MAHAVIDYALAYA, SINGHARPUR, MATHURA ROAD, ALIGARH (Id: C-59017)",1,9,,,,,,,,,,,,
"Dr. Sharma Prasad Mukherjee College of Physical Education, Nurpur, Distt Kangra (Id: C-11311)",0,2,,,,,,,,,,,,
DR. SHASHI KANT SINGH MAHAVIDYALAYA (Id: C-56248),17,7,1,,,,8,1,,,,,,
DR SHIVAJIRAO GHOGARE INSTITUTE OF NURSING (Id: C-50975),7,3,1,,,,1,,,,,1,,
DR.SHIVAJIRAO GHOGARE INSTITUTE OF OPHTHALMOLOGY (Id: C-58970),2,1,,,,,1,,,,,,1,
Dr. Shivajirao Kadam College of Pharmacy (Id: C-55694),11,6,1,2,,,1,1,,,,,5,4
"Dr. Shiv Prasad Rajpati Mahavidyalay, Dariba, Zafrabad, Jaunpur (Id: C-58614)",1,,,,,,1,,,,,,,
"DR. SHIV SAGAR LAL MAHAVIDHYALAYA, PANHAN, PATAN, UNNAO (Id: C-48163)",3,2,,,,,2,2,,,1,,,
"Dr. Shree Krishna Sinha Women's College, Motihari (Id: C-19023)",2,10,,2,,,1,1,,,1,1,,
"Dr. Shri. Nanasaheb Dharmadhikari, Arts, Commerce & Science College, At Kolad, Tal. Roha, Dist. Raigarh. (Id: C-33876)",5,10,2,,,,,2,,,,,1,
"Dr. Shusheela Tiwari Degree College, Sitarganj (Id: C-21888)",15,4,1,,,1,,,1,,,,,
"DR. SHYAMA PRASAD MUKHERJEE DEGREE COLLEGE, KUDERKOAT, (Id: C-12283)",5,1,,,,,,,,,,,,
"Dr. Shyama Prasad Mukhrjee Govt. College, Sant Ravidas Nagar, Bhadohi (Id: C-13596)",10,5,1,,,,5,1,,,1,,,
"Dr Shyam Lal Thapar  College of Nursing,  Amritsar Barnala Bypass  Road, Moga (Id: C-29138)",2,33,,4,,,,4,,,,,1,28
"Dr. Shyam Narayan Rai Mahavidyalaya, Bankata(Bhadsad), Gola, Gorakhpur (Id: C-14224)",8,2,,,,,4,1,,,1,,,
"Dr. Shyamprasad Mukharji Kala Mahavidyalaya , Shendurjana Ghat , Tq- Warud (Id: C-42924)",6,1,,1,,,6,,,,,,,
Dr.Sivanthi Aditanar College of Education (Id: C-57250),13,6,1,0,,,12,4,,,,,3,1
Dr. Sivanthi Aditanar College of Physical Education (Id: C-7947),11,3,2,,,,7,3,,,,,4,
Dr.Sivanthi Adithanar College of Engineering (Id: C-27038),60,89,2,4,,,54,82,,,,1,19,24
"Dr. S. N. Dev Group of Colleges, Sikka Shamli (Id: C-52889)",12,3,1,,,,8,2,,,,,,1
"DR S N MEDICAL COLLEGE AND HOSPITAL, JODHPUR (Id: C-47152)",192,106,25,9,4,5,55,24,1,1,3,2,,2
Dr. S.N.S. College of Education (Id: C-14560),5,15,,1,,,4,14,,,,,1,4
Dr.S.N.S.Rajalakshmi College of Arts and Science (Id: C-41042),50,96,5,2,,,44,89,,,2,1,3,10
DR SOMERWELL MEMORIAL CSI MEDICAL COLLEGE (Id: C-48118),68,40,,,,,38,17,,,1,1,44,24
"Dr. (Sow) Indirabai Pathak Mahila Arts & Commerce College, Samarth Nagar, Aurangabad. (Id: C-34273)",3,30,,6,,1,,5,,,,,,6
Dr.S.P.M College of Education (Id: C-26425),4,9,1,,,,,2,,,1,2,,
"DR S RADHA KRISHNAN COLLEGE OF EDUCATION, CHAS (Id: C-48591)",6,10,1,,,,1,2,,,1,1,,
"Dr S Radhakrishnan Education College, Sakoli (Id: C-18842)",7,5,1,2,,,6,2,,,,,,
Dr.S.Radhakrishnan Institute of Computer Technology Lanji (Id: C-55222),5,1,,,,,4,,,,,,,
"Dr.S.Radhakrishnan, Institute Of Computer Technology Waraseoni (Id: C-54070)",8,3,,1,1,,4,1,1,,1,,,
"DR S RADHA KRISHNAN T T COLLEGE, LARI (Id: C-48608)",6,7,,,,3,5,1,,,2,,,2
Dr. S. R. Ajmera B.C.A. College of Women (Id: C-44275),4,4,,,,,3,3,,,,,,
"Dr.S.Ramadoss Arts & Science College ,Periyavadavadi-Virudachalam-606 104 (Id: C-36408)",31,17,1,1,,,30,16,,,,,,
"Dr. S.R. Chandrashekar Institute of Speech and Hearing, Hennur rd, Bangalore-84 (Id: C-21178)",10,42,,1,,1,4,7,,,1,2,,14
"Dr. Sri Sri Sri Shivakumara Mahaswamy College of Engineering, BANGALORE (Id: C-1376)",41,26,1,1,1,1,2,1,,,1,1,,
Dr. S.R.J. College of Education (Id: C-14518),3,11,,3,,,2,8,,,,,1,
Dr. S.R.K. Govt. Arts College (Id: C-6525),24,9,6,3,,,6,2,,,,1,1,
"Dr.S.& S.S.Gandhi college of Engg. And Technology,Surat 612  (Id: C-248)",88,29,1,,14,4,29,4,,,2,2,1,
"DR. S. & S. S. GHANDHY GOVERNMENT ENGINEERING COLLEGE, SURAT 023 (Id: C-225)",41,17,3,,4,1,11,5,,,,,,
"Dr. Subhahsh Pethaljibhai Chavda Ahir Kelvani Mandal`s Group of Institutions-Engg, Junagadh 083 (Id: C-275)",41,6,1,,,,7,,,,1,,,
"Dr. Subhahsh Pethaljibhai Chavda Ahir Kelvani Mandal's Group of Institutions,Khamdhrol Road,Di:Junagadh-(SFI) 544  (Id: C-280)",4,2,,,,,1,,,,,,,
Dr. Subhash College of Computer Science (Id: C-59974),3,1,,,,,1,,,,,,,
"DR. SUBHASH COLLEGE OF EDUCATION, JUNAGADH (Id: C-968)",2,4,2,1,,,,1,,,,,,
DR.SUBHASH COLLEGE OF PHYSICAL EDUCATION-JUNAGADH (Id: C-911),4,,2,,,,1,,,,,,,
DR.SUBHASH MAHILA ARTS COMM.& HOMESCI.COLLEGE-JUNAGADH (Id: C-1044),15,7,1,2,3,,6,1,,,,,,
DR.SUBHASH MAHILA COLLEGE OF EDUCATION COLLEGE JUNAGADH (Id: C-759),5,1,1,,1,,1,1,,,,,,
DR. SUBHASH PETHALJIBHAI CHAVDA AHIR KELVANI MANDAL'S GROUP OF INSTITUTION-PHARMACY 287 (Id: C-52),6,5,,,,,4,3,,,1,,,
Dr. SUBHASH SCIENCE COLLEGE (Id: C-57329),9,10,1,,,,5,5,,,,,,
DR. SUBHASH TECHNICAL CAMPUS (695) (Id: C-47844),22,6,,,,,3,1,,,,,,
"Dr. Sudha & Nageswara Rao Inst. of Dental Sciences, Chinaoutpalli (Id: C-30333)",37,25,1,1,,,,,,,1,,1,1
Dr. Sudhir Chandra Sur Degree Engineering College 255 (Id: C-6175),71,40,3,2,,,2,2,,,3,,,
"Dr.Susheela Gramin Mahavidyalaya Ratuwapar,Lakhandeh, Azamgarh (Id: C-15946)",4,3,1,,,,1,3,,,,,,
"Dr. Sushila Tiwari College of Advance Studies,Roorkee (Id: C-24529)",9,7,1,,1,,4,1,,,,,,
DR SWETA SMRUTI WOMEN COLLEGE DHANORA (Id: C-46502),2,2,1,,,1,1,1,,,,,,
Dr. Syamala Reddy Dental College (Id: C-40111),23,35,,,,,,,,,2,3,,1
DR.TANAJIRAO CHORAGE SENIOR COLLEGE OF ARTS AND COMMERCE (Id: C-55808),6,2,1,,,,2,2,,,,,,
"DR TANVEER MALAVAT NURSING COLLEGE, BIKANER (Id: C-47070)",5,1,,,,,2,,,,1,,,1
Dr. Thakorbhai Patel Girls Commerce College (Id: C-44287),2,14,1,,,,,1,,,,1,,
"Dr. Timmaiah  Institute of Technology,  K G F (Id: C-1379)",50,56,8,22,1,,22,20,,,2,2,4,6
"Dr. T.M.A. Pai College of Education, Kunjibettu, Udupi - 576102 (Id: C-16867)",2,5,,,,,,,,,,,,
Dr Trishuldhari Pandey Memorial College of Education (Id: C-61006),16,,2,,,,9,,,,,,,
"DR ULHAS PATIL COLLEGE OF AGRICULTURAL ENGINEERING & TECHNOLOGY, JALGAON (Id: C-50477)",8,7,2,2,,,5,5,,,,,,
"DR ULHAS PATIL COLLEGE OF AGRICULTURE, JALGAON (Id: C-50476)",10,6,2,,,,7,4,,,,,,
"DR ULHAS PATIL COLLEGE OF FOOD TECHNOLOGY, JALGAON (Id: C-50478)",7,4,2,,,,3,2,,,,,,
"Dr. Ulhas Patil College of Physiotherapy, Jalgaon (Id: C-14044)",9,8,,1,,,2,1,,,,2,,
"Dr Ulhas Patil Homoeopathic Medical College and Hospital, Jalgaon (Id: C-50862)",14,11,,,,,2,,,,,1,,
"Dr. Umayal Ramanathan College for Women, Karaikudi (Id: C-28518)",,73,,3,,2,,60,,,,1,,4
"Dr. Vaishampayan Memorial Govt. Medical  College, Solapur (Id: C-14018)",98,44,22,9,4,1,30,7,1,,7,3,4,4
Dr.VARALAKSHMI B P Ed COLLEGE (Id: C-57299),8,1,,,,,8,1,,,,1,,
"Dr. Vasantrao Pawar Medical College, Hospital & Research Centre, Adgaon naka, Nashik (Id: C-13936)",131,69,6,5,3,1,21,17,,,,,8,4
DRV DAV Centenary College Phillaur (Jalandhar) (Id: C-27950),5,14,,2,,,,5,,,,,,3
"Dr. Vedprakash Patil College of Pharmacy, Georai Tanda, Aurangabad. (Id: C-34389)",10,5,2,2,,,1,1,,,4,1,1,
Dr. Vellasamy Nadar College of Education (Id: C-15029),1,10,,4,,,1,6,,,,,,
DR. VERIENDRA SINGH MAHAVIDYALAYA (Id: C-56247),10,1,3,,,,7,1,,,,,,
Dr. Vijai Lall Smriti Mahavidyalaya Damoh (Id: C-53644),14,15,1,,,,5,1,,,,,4,9
"Dr. Vikhe Patil Foundation's Pravara Centre for Management, Research & Development, Near Patrakarnagar,Off. Senapati Bapat Road, Pune 411016 (Id: C-41340)",9,5,,,,,2,,,,,,,
Dr Virambhai Rajabhai Godhaniya IT College (Id: C-58248),8,6,,,,,3,2,,,,,,
"DR VIRENDRA SWAROOP INSTITUTE OF PROFESSIONAL STUDIES, KANPUR (Id: C-46826)",2,5,,,,,,,,,,,,
"DR. VIRENDRA SWAROOP INST. OF COMPUTER STUDIES, (Id: C-12678)",18,12,,,,,4,2,,,1,,,
"DR VIRENDRA SWARUP INSTITUTE OF COMPUTER STUDIES, KANPUR (Id: C-46825)",15,9,,,,,,1,,,1,,,
"DR. VIRENDRA SWARUP INSTITUTE OF PROF. STUDIES, KIDWAI NAGAR, (Id: C-12435)",5,19,,1,,,3,2,,,,,,1
"DR VIRENDRA SWARUP MEMORIAL TRUST GROUP OF INSTITUTIONS, UNNAO (Id: C-47021)",35,17,3,,,,5,3,,,4,2,,
"DR. VISHAMBHAR SINGH PRATAP SINGH MAHAVIDYALAYA, TATIAGANJ, (Id: C-12583)",14,6,1,1,,,3,4,,1,,1,,
"Dr. Vishwanathrao Karad College of Education, Kaij. (Id: C-34460)",7,2,3,1,,,1,1,,,,,,
DR VITTHALRAO KHOBRAGADE B.Ed COLLEGE NAGPUR (Id: C-51335),6,6,2,2,,,2,3,,,,,,
"Dr. Vivek Shinde Prashaskiya Sewa Mahavidyalaya, Bhadrawati (Id: C-60678)",4,1,1,,,,2,1,,,,,1,
"DR V.P.S COLLEGE GARHI UDI,JALESAR ROAD,FIROZABAD (Id: C-15090)",24,5,6,,,,7,1,,,,,,
DR. V. R. GODHANIA COLLEGE OF ENGINEERING AND TECHNOLOGY (Id: C-58070),6,2,,,1,,1,,,,,,,
DR.V.R.GODHANIYA B.ED. COLLEGE-PORBANDAR (Id: C-920),12,29,,1,,1,6,11,,,1,1,,
DR. V.R.GODHAVANIYA MAHILA ARTS COMM. HOME SCI &  I.T. COLLEGE - PORBANDAR (Id: C-976),8,14,1,,,,4,2,1,,,,,
Dr. VRK Women's College of Engineering & Technology (Id: C-19950),37,20,4,1,3,,23,12,,,14,10,,1
"Dr. VRK Women's Medical College, Aziznagar (Id: C-30628)",107,84,,,,,,,,,56,36,,1
Dr. V.S. Krishna Government Degree College (Id: C-23941),49,33,9,4,4,,26,14,,,,,3,
"D.R.W. College, Gudur (Id: C-24758)",,45,,15,,1,,17,,,,3,,3
"DRW College, Gudur (Id: C-24821)",2,12,,2,,,2,5,,,,,,1
"DRW College PG College, Gudur (Id: C-24750)",1,15,,3,,,1,3,,,,1,,
"Dr. Yashwant Singh Parmar Govt. Medical College, Nahan (Id: C-59010)",57,29,3,,1,,,,,,,,7,6
Dr.Y.L.P.Degree College of Arts & Sciences (Id: C-23837),3,1,,,,,,,,,,,,
"Dr. Y.S. Parmar Govt. Post Graduate College, Nahan (Id: C-11522)",13,16,,1,,3,,1,,,,,,
"Dr.Zakir Husain College, Ilayangudi (Id: C-28533)",38,8,,,,,38,8,,,31,8,,
"DR.ZAKIR HUSAIN COLLEGE OF EDUCATION , SIVAGANGA (Id: C-45848)",3,4,1,1,,,2,3,1,1,,1,,1
DR. ZAKIR HUSSAIN COLLEGE OF ARTS & SCIE (Id: C-25408),16,4,,,,,,,,,9,,,
Dr. Zakir Hussain College of Education (Id: C-36922),1,,,,,,,,,,,,,
"Dr. Zakir Hussain College of Education, Khultabad. (Id: C-34455)",13,6,3,2,,,2,,,,3,3,1,2
"Dr. Zakir Hussain M.M.T.T. College, Varindhawan, Kota Road, Jhalawar (Id: C-19372)",8,7,2,3,,,2,1,,,3,1,,
"DR ZAKIR HUSSAIN WOMENS DEGREE COLLEGE OF ARTS COMM and SCI, PARBHAN (Id: C-55761)",3,2,,,,,,,,,3,2,,
"DR.Z.H DEGREE COLLEGE,ETAH (Id: C-15474)",22,3,,,,,1,2,,,2,,,
Dr. Z.H.T.T. College (Id: C-8725),23,20,,,,,1,,,,16,11,,
D.S. ARYA COLLEGE OF EDUCATION (Id: C-28095),4,5,,,,,,,,,,,,
DSB Campus (Id: C-21896),118,62,25,7,,1,7,3,,,3,,2,
"D.S.B.G. Government First Grade College, Mudigere. (Id: C-17768)",13,6,2,1,,,10,5,,,,,2,
"D.S COLLEGE ,ALIGARH (Id: C-15193)",66,28,5,3,,,22,5,,,6,2,,
"D.S. College, Katihar (Id: C-29628)",32,5,1,,,,12,,,,4,,,
"D.S.College,Laida (Id: C-40835)",5,2,2,,1,1,2,,,,,,,
D S COLLEGE OF LAW (Id: C-54840),3,1,,,,,1,1,,,,,,
"D.S DANI COLLEGE OF HIGHER EDUCATION , BARNALA (Id: C-49540)",2,8,1,3,,,,,,,,,2,4
D S EDUCATIONAL INSTITUTE (Id: C-60429),3,1,,,,,1,1,,,,,,
"D.S.Govt. Degree College for Women, Ongole (Id: C-32817)",5,15,,2,,,2,8,,,,,,
"D. S. Homoeopathy College, Pune (Id: C-13817)",15,24,1,2,1,,,1,,,,,1,2
"D.S. Law  College, Kendrapara (Id: C-39826)",6,,,,,,2,,,,,,,
D S M ACADEMY DHANAURA ROAD AFZALPUR LOOT AMROHA (Id: C-57497),3,1,,1,,,2,,,,,,,
D S MAHILA MAHAVIDHYALAYA RAIPUR KHERI (Id: C-56551),2,5,,,,,1,4,,,,,,
"D.S.Man Malti Devi Mahavidyalaya, Ballia (Id: C-51143)",14,3,4,,,,8,3,,,,,,
"DSM College, Jhajha (Id: C-17624)",7,,2,,,,2,,,,1,,,
"D.S.M.'s Arts Commerce & Science College, Jintur (Id: C-7516)",32,2,7,,,,9,1,,,1,,7,
"D. S. M.'s  Arts Commerce & Science College, Jintur Road, Parbhani (Id: C-7531)",76,46,13,6,3,,15,6,1,,1,9,12,5
DSMS College of Healthcare Management - in association with CMRI (Id: C-16373),2,,,,,,,,,,,,,
"D.S.M's College of Physical Education, Jintur Road, Parbhani (Id: C-7335)",3,,1,,,,1,,,,,,1,
DS M S College of Tourism and Management (Id: C-44711),4,1,,,,,,,,,,,,
"D.S.M.'s Institute of Information Technology & Management, Parbhani (Id: C-7514)",8,3,,1,,,,,,,1,,,1
"D.S.N. P.G. COLLEGE, (Id: C-12068)",35,16,3,,,,14,3,,,,1,,
D S P Mandals K V Pendharkar College of Arts  Science and Commerce  MIDC Area  Dombivli  East  Dist Thane 421 203 (Id: C-33609),19,11,8,2,,,5,1,,,,,10,3
"D.S.R. College of Education (English Medium), Daultabad T-Point, Aurangabad. (Id: C-34380)",6,7,,,,,,,1,1,6,7,,
"D.S.R. DEGREE COLLEGE, PIPRA NANKAR, BAHERI  (Id: C-51421)",6,2,,,,,2,,,,1,,,
D.S.R. HINDU COLLEGE OF LAW (Id: C-25333),2,3,,,,,1,,,,,,,
"D.S.S.A. Balika Mahavidyalaya, Dadnpur Ahirauli, Mau (Id: C-15847)",7,1,2,,,,2,,,,,,,
"D.S.S.V. College, Simari (Id: C-27117)",27,10,,,,,1,1,,,,,,
Duargapur Paramedical Institute (Id: C-16381),3,3,,,,,,,,,,,,
Dudhnoi College (Id: C-17269),46,24,1,1,9,11,9,2,,,4,,,
"DUGYALA GOPAL RAO MEMORIAL DEGREE COLLEGE, THUNGATURTHY (Id: C-33179)",13,,,,1,,11,,,,2,,,
"Duja Devi Mahavidyalaya, Sahatwar, Ballia (Id: C-13682)",29,13,1,,,,10,4,,,,1,,
Dukhulal Nibaran Chandra College (Id: C-7124),51,16,4,,,,2,1,1,,21,3,,
"DULARI DEVI COLLEGE OF EDUCATION, UTRARA DIST. FIROZABAD (Id: C-55391)",15,9,,3,,,9,3,,,,,,
"Dulari Devi P.G. College, Bindawaliya, Bhikampur, Deoria (Id: C-14275)",26,3,5,1,,,8,,,,,,,
DULARI INSTITUTE OF EDUCATION CENTRE (Id: C-61013),7,2,,,,,4,,,,,,,
"DULARI MAHILA MAHAVIDYALAYA, DULARI NAGAR (Id: C-57003)",2,4,,,,,,,,,,,,
"Duliajan College, Duliajan P.O.Duliajan- 786602 (Id: C-8508)",27,19,4,,5,3,9,6,,,,,,
Duliajan Girls College P.O.Duliajan-786602 (Id: C-8367),8,20,1,,,,2,13,,,,1,,
DumDum Motijheel College (Id: C-43352),37,57,12,7,,,2,2,1,,,,,
DumDum Motijheel Rabindra Mahavidyalaya (Id: C-43380),15,22,4,1,,,1,1,,,1,1,,
DUMKA ENGINEERING COLLEGE (ESTD. BY GOVT. OF JHARKHAND & RUN BY TECHNO INDIA UNDER PPP) (Id: C-51374),55,13,,1,,,6,,,,4,,,
Dumkal College (Id: C-7062),37,10,6,0,,,13,8,,,19,5,,
Dumkal Institute of Engg. and Technology 331 (Id: C-6147),14,1,,,,,,,,,8,1,,
Dumkal Institute of Engineering and Technology 131 (Id: C-6241),63,7,,,,,1,,,,25,3,,
Dumri College (Id: C-15075),10,4,,,6,3,2,1,,,2,,6,3
"Dungarpur College of Engg. & Tech. , Dungarpur (Id: C-25118)",1,0,0,,0,,0,0,,,0,,0,
"Dunguripali College,Dungripali (Id: C-40834)",9,1,1,,,,5,,,,,,,
"Duragabai Deshmukh Hospital & Research Centre, College of Physiotheraphy, Hyderabad (Id: C-30634)",5,6,,1,,,,,,,,,,
Durai Murugan College of Education (Id: C-14622),6,7,2,3,,,4,4,,,,,,
Durama College (Id: C-16322),5,12,,,5,12,,,,,,,4,12
Durgabai Deshmukh College of Special Education (Id: C-22463),1,2,,,,,,,,,,,,
"Durgabhai Deshmukh College of B.Sc Nursing, Hyderabad (Id: C-30700)",,21,,9,,,,8,,,,1,,7
"Durga Charan Chilika College,Tangi, Khurda (Id: C-39694)",6,4,,,,,1,,,,,,,
Durga College (Id: C-21825),21,31,,,,,2,1,,,1,2,1,1
"DURGADEVI SARAF INSTITUTE OF MANAGEMENT STUDIES, MUMBAI (Id: C-47232)",6,8,,,,,,,,,,,2,
"Durga Devi T T College, Alwar (Id: C-38543)",5,11,,,,,,1,,,,,,
"Durga Girls Degree College, Chandauli (Id: C-51105)",6,1,,,,,6,,,,2,,,
"DURGA MAHAVIDYALAYA, KHASPUR, VIA PAKBARA  (Id: C-51426)",4,4,,,,,,2,,,,2,,
"DURGAMATA INSTITUTE OF PHARMACY,(B.PHARM) DHARMAPURI-PARBHANI (Id: C-58512)",3,2,,,,,1,,,,1,,,
"DURGA PRASAD RAMROOP MAHAVIDYALAYA, ATWABACK, (Id: C-12477)",2,1,1,,,,,,,,,,,
DURGAPRASAD  SARRAF COLLEGE DABHO (Id: C-34697),2,1,,,,,1,,,,,1,,
DURGAPUR ANANDAMOY B Ed COLLEGE (Id: C-47577),10,4,3,1,,,,,,,,1,,
"Durgapur B. Ed. College, Bidhannagar (Id: C-48383)",4,3,,,,,1,,,,,,,
Durgapur Government College (Id: C-44764),52,38,4,4,,,4,1,,,1,,1,1
Durgapur Institute of Advanced Technology and Management 155 (Id: C-6163),47,8,,,,,,,,,,,,
Durgapur Institute of Legal Studies (Id: C-44649),5,10,,1,,,,,,,,1,,
Durgapur Institute of Management and Science (Id: C-58562),12,6,1,,,,,,,,,,,
Durgapur Institute of Science & Technology (Id: C-44686),4,4,,,,,,,,,,,,
"Durgapur Institute of Science, Technology and Management 229 (Id: C-6160)",7,4,,,,,,,,,,,,
Durgapur Women's College (Id: C-44702),26,51,4,,,1,1,2,1,,3,,,
"Durga Sanskrit Pathshala, Chhatrapura, Saiyadraja (Id: C-20526)",3,,,,,,,,,,,,,
"DURGA SHIKSHA NIKETAN MAHAVIDYALAYA, BHARWARA, GOMTI NAGAR (Id: C-12763)",7,8,,,,,5,4,,,2,,,
"DURGA SHIKSHA NIKETAN MAHAVIDYALAYA, B K T, LUCKNOW (Id: C-12728)",8,5,3,,,,1,2,,,1,1,,
"Durgesh Nandani Vashishat Narayan Shikshan and Prashikshan Mahavidyalaya, Soharauna Tiwari, Maharajganj (Id: C-57007)",13,2,2,,,,7,,,,,,1,
"DURGESH NANDANI VASHIST NARAYAN MAHAVIDYALAYA, MAHARAJGANJ (Id: C-51305)",9,2,1,1,,,3,1,,,,,,
DURGESH NANDINI MAHAVIDYALAYA CHARERA PURA BAZAR FAIZABAD (Id: C-57286),10,3,1,,,,1,,,,,,,
D.V.C. College  of Education (Id: C-14465),4,1,1,,,,3,1,,,,,,
"D.V.C PARA MEDICAL INSTITUTE (Inst. Code - 578), CUDDALORE (Id: C-49046)",,3,,,,,,,,,,,,
"DVM COLLEGE OF BUSINESS MANAGEMENT, CHERLAPALLY (Id: C-33220)",2,4,2,2,,,,1,,,,,,
D.V.M. COLLEGE OF EDUCATION (Id: C-28015),8,3,1,,,,6,1,,,,,,
"DVM COLLEGE OF EDUCATION, NALGONDA (Id: C-33198)",17,7,1,1,,,11,4,,,1,1,,
D.V.M Degree College of Commerce & Science (Id: C-26171),10,10,1,3,1,,4,6,,,,,,1
DVR and DS MEMORIAL DEEPTHI B.Ed College (Id: C-56830),6,1,,1,,,,,,,,,,1
D.V.R. DEGREE COLLEGE (Id: C-25282),8,1,3,,,,2,,,,,,,
"D.V.S. Arts & Science College, Shimoga. (Id: C-17780)",30,31,,1,,,24,25,,,1,2,,1
"D.V.S. Evening College, Shimoga. (Id: C-17785)",10,,1,,1,,4,,,,,,,
